"Name","Profession","Company","Food and beverage category","Brands","Ethnicity","Age","Links","Notes"
"Ross, Marion","Actress","Milk PEP","Dairy","Got Milk","WFE","86.0","https://www.google.com/search?q=florence+henderson+got+milk&client=safari&rls=en&tbm=isch&tbo=u&source=univ&sa=X&ved=0CB0QsARqFQoTCISXg5iS3sgCFYHZPgod8pwFbQ&biw=1277&bih=633#imgrc=blHPCXYYur9s_M%3A","NA"
"Rossellini, Isabella","Actress","Milk PEP","Dairy","Got Milk","WFE","63.0","http://file.vintageadbrowser.com/83b5c55xc2aj2s.jpg","NA"
"Rowland, Kelly","Musician","McDonald's Corporation","QSR","McDonald's","BFE","34.0","https://images.search.yahoo.com/images/view;_ylt=AwrB8o68KYxVHWQALXMunIlQ;_ylu=X3oDMTIzc2cyb3BsBHNlYwNzcgRzbGsDaW1nBG9pZANkYzI3ZDBhMGZmMWFhMThmZTljNGUwNjgzZjMxNTAyNgRncG9zAzY2BGl0A2Jpbmc-?.origin=&back=https%3A%2F%2Fimages.search.yahoo.com%2Fyhs%2Fsearch%3Fp%3Djustin%2Btimberlake%2Bmcdonald%2527s%26fr%3Dyhs-mozilla-002%26fr2%3Dpiv-web%26hsimp%3Dyhs-002%26hspart%3Dmozilla%26nost%3D1%26tab%3Dorganic%26ri%3D66&w=1200&h=630&imgurl=media.meltyfood.fr%2Farticle-1580552-fb-f1372259114%2Fdestiny-s-child-mcdonald-s-pub.jpg&rurl=http%3A%2F%2Fwww.meltyfood.fr%2Fjustin-timberlake-beyonce-michael-jordan-ces-stars-qui-ont-fait-de-la-pub-pour-mcdonald-s-a189819.html&size=114.0KB&name=destiny-s-child-%3Cb%3Emcdonald-s%3C%2Fb%3E-pub.jpg&p=justin+timberlake+mcdonald%27s&oid=dc27d0a0ff1aa18fe9c4e0683f315026&fr2=piv-web&fr=yhs-mozilla-002&tt=destiny-s-child-%3Cb%3Emcdonald-s%3C%2Fb%3E-pub.jpg&b=61&ni=21&no=66&ts=&tab=organic&sigr=13uqbo0av&sigb=150sqr1q8&sigi=12kbrdfi9&sigt=119u7vogr&sign=119u7vogr&.crumb=0M2.3jhAHLm&fr=yhs-mozilla-002&fr2=piv-web&hsimp=yhs-002&hspart=mozilla","NA"
"Rublin, Dave ""American Authors""","Musician","Unilever","SSB","Lipton Iced Tea","WFE","29.0","https://www.ispot.tv/ad/7aT2/lipton-sparkling-iced-tea-tiny-bubbles-song-by-american-authors","NA"
"Rucker, Darius","Musician","Restaurant Brands International Inc.","QSR","Burger King","BME","49.0","https://images.search.yahoo.com/images/view;_ylt=AwrB8pjmOYxVKEAAZd4unIlQ;_ylu=X3oDMTIyZjAxY2EzBHNlYwNzcgRzbGsDaW1nBG9pZANkNTU1ZDg3NmVhNDA1M2VkNzgwZTllMWEyOGQ3ZDBlMQRncG9zAzMEaXQDYmluZw--?.origin=&back=https%3A%2F%2Fimages.search.yahoo.com%2Fyhs%2Fsearch%3Fp%3Ddarius%2Brucker%2Band%2Bburger%2Bking%26fr%3Dyhs-mozilla-002%26fr2%3Dpiv-web%26hsimp%3Dyhs-002%26hspart%3Dmozilla%26tab%3Dorganic%26ri%3D3&w=330&h=193&imgurl=www.wnd.com%2Fimages2%2FhootieBK.jpg&rurl=http%3A%2F%2Fwww.wnd.com%2F2005%2F07%2F31516%2F&size=91.8KB&name=%3Cb%3Edarius%3C%2Fb%3E+%3Cb%3Erucker%3C%2Fb%3E+aka+hootie+of+hootie+and+the+blowfish+sings+%3Cb%3Eburger%3C%2Fb%3E+%3Cb%3Eking%3C%2Fb%3E+...&p=darius+rucker+and+burger+king&oid=d555d876ea4053ed780e9e1a28d7d0e1&fr2=piv-web&fr=yhs-mozilla-002&tt=%3Cb%3Edarius%3C%2Fb%3E+%3Cb%3Erucker%3C%2Fb%3E+aka+hootie+of+hootie+and+the+blowfish+sings+%3Cb%3Eburger%3C%2Fb%3E+%3Cb%3Eking%3C%2Fb%3E+...&b=0&ni=21&no=3&ts=&tab=organic&sigr=111s06et3&sigb=14naadlqm&sigi=1109dole9&sigt=135491u55&sign=135491u55&.crumb=0M2.3jhAHLm&fr=yhs-mozilla-002&fr2=piv-web&hsimp=yhs-002&hspart=mozilla","NA"
"Sabara, Daryl","Actor","Milk PEP","Dairy","Got Milk","WME","23.0","http://www.bambootrading.com/1700-1/1700-40.JPG","NA"
"Sanchez, Matt ""American Authors""","Musician","Unilever","SSB","Lipton Iced Tea","WME","30.0","https://www.ispot.tv/ad/7aT2/lipton-sparkling-iced-tea-tiny-bubbles-song-by-american-authors","NA"
"Saralegui, Cristina ","TV personality","Nestle","Water","Nestle Pure Life","WFE","68.0","http://hispanicprwire.com/en/nestle-r-pure-life-r-better-habits-for-a-better-life-campaign-encourages-latinos-to-live-a-healthy-lifestyle-one-sip-at-a-time/","NA"
"Saralegui, Cristina ","TV personality","PHA","Water","Drink UP Campaign","WFE","68.0","https://www.youtube.com/watch?v=aO_nAHiGYRQ","NA"
"Scott, Hillary ""Lady Antebellum""","Musician","Unilever","SSB","Lipton Iced Tea","WFE","30.0","https://www.youtube.com/watch?v=39cPFjM-hi4","NA"
"Seacrest, Ryan","TV Personality","TCCC","SSB","Coca-Cola","WME","40.0","http://www.coca-colacompany.com/coca-cola-unbottled/ryan-seacrest-foundation-flashback-with-coca-cola","NA"
"Sereba, Nico ""Nico & Vinz""","Musician","Nestle","SSB","Nestea","BFE","24.0","https://www.youtube.com/watch?v=g-c64vrQdg8","NA"
"Shaffer, Paul","Musician","Milk PEP","Dairy","Got Milk","WME","65.0","http://file.vintageadbrowser.com/xv6pbghuufrlql.jpg","NA"
"Shelley, James Adam ""American Authors""","Musician","Unilever","SSB","Lipton Iced Tea","WME","33.0","https://www.ispot.tv/ad/7aT2/lipton-sparkling-iced-tea-tiny-bubbles-song-by-american-authors","NA"
"Shelton, Blake ","Musician","PepsiCo","SSB","Pepsi","WME","39.0","http://www.huffingtonpost.com/entry/celebrities-endorse-unhealthy-foods_us_57559f8ce4b0ed593f14f7b28","NA"
"Shelton, Blake ","Musician","Yum! Brands","QSR","Pizza Hut","WME","39.0","http://www.huffingtonpost.com/entry/celebrities-endorse-unhealthy-foods_us_57559f8ce4b0ed593f14f7b29","NA"
"Shields, Brooke","Actress","Milk PEP","Dairy","Got Milk","WFE","50.0","http://assets.nydailynews.com/polopoly_fs/1.1701082!/img/httpImage/image.jpg_gen/derivatives/gallery_1200/brooke-shields-2008.jpg","NA"
"Simmons, Gene","Musician","Milk PEP","Dairy","Got Milk","WME","66.0","http://www.kissdominion.com/gotmilk.jpg","NA"
"Simmons, Gene","Musician","Dr Pepper Snapple Group","SSB","Dr Pepper","WME","66.0","https://www.youtube.com/watch?v=yv6qRO7uwnY","NA"
"Simpson, Ashlee","Musician","The Hershey Company","Candy","Reese's","WFE","30.0","http://media.onsugar.com/files/2010/01/04/3/192/1922398/7ad704db2e9c939f_ashlee-simpson.jpg","NA"
"Smith, Shaffer Chimere ""Ne Yo"" ","Musician","PepsiCo","SSB","Pepsi","BME","35.0","https://images.search.yahoo.com/images/view;_ylt=AwrB8pNXOIxV33YAfo0unIlQ;_ylu=X3oDMTIzOTluNXBlBHNlYwNzcgRzbGsDaW1nBG9pZANhYTM3ZTZkNmY2ODc3ZDM0MTNiY2YzNGIzOTY4ZTZhYQRncG9zAzMxBGl0A2Jpbmc-?.origin=&back=https%3A%2F%2Fimages.search.yahoo.com%2Fyhs%2Fsearch%3Fp%3Dne-yo%2Bpepsi%26fr%3Dyhs-mozilla-002%26fr2%3Dpiv-web%26hsimp%3Dyhs-002%26hspart%3Dmozilla%26tab%3Dorganic%26ri%3D31&w=630&h=316&imgurl=cbsb96radio.files.wordpress.com%2F2013%2F04%2Fft_neyo.jpg&rurl=http%3A%2F%2Fb96.cbslocal.com%2F2013%2F04%2F25%2Ffinal-b96-pepsi-summer-bash-artist-lineup-revealed-ne-yo-avril-lavigne-and-timeflies-added%2F&size=41.8KB&name=ft+%3Cb%3Eneyo%3C%2Fb%3E+Final+B96+%3Cb%3EPepsi%3C%2Fb%3E+Summer+Bash+Artist+Lineup+Revealed%3A+%3Cb%3ENe+Yo%3C%2Fb%3E+...&p=ne-yo+pepsi&oid=aa37e6d6f6877d3413bcf34b3968e6aa&fr2=piv-web&fr=yhs-mozilla-002&tt=ft+%3Cb%3Eneyo%3C%2Fb%3E+Final+B96+%3Cb%3EPepsi%3C%2Fb%3E+Summer+Bash+Artist+Lineup+Revealed%3A+%3Cb%3ENe+Yo%3C%2Fb%3E+...&b=0&ni=21&no=31&ts=&tab=organic&sigr=13ug12bq4&sigb=146s2h2jh&sigi=11jfa56d8&sigt=12qin0ji7&sign=12qin0ji7&.crumb=0M2.3jhAHLm&fr=yhs-mozilla-002&fr2=piv-web&hsimp=yhs-002&hspart=mozilla","NA"
"Smits, Jimmy","Actor","Milk PEP","Dairy","Got Milk","WME","60.0","https://troglopundit.files.wordpress.com/2014/02/jimmy-smits-dennis-franz-got-milk.jpg","NA"
"Sparks, Jordin","Musician","PHA","Fruit and Vegetables","FNV","BFE","25.0","http://www.theybf.com/2015/11/22/first-lady-michelle-obama-gabrielle-union-ashanti-jordin-sparks-more-celebrate-healthy","NA"
"Sparks, Jordin","Musician","Milk PEP","Dairy","Got Milk","BFE","25.0","http://www.smartgirlsknow.com/images/Jordinsparks.jpg","NA"
"Spears, Britney","Musician","Milk PEP","Dairy","Got Milk","WFE","33.0","http://www.eonline.com/eol_images/Entire_Site/2014125/rs_623x828-140225145608-634.Got-Milk-Ad-Britney-Spears.3.ms.022514.jpg","NA"
"Spears, Britney","Musician","PepsiCo","SSB","Pepsi","WFE","33.0","https://connoradvsoc.files.wordpress.com/2013/05/mousikes-diafhmiseis-part-1-1019.jpg","NA"
"Spears, Britney","Musician","McDonald's Corporation","QSR","McDonald's","WFE","33.0","http://www.huffingtonpost.com/entry/celebrities-endorse-unhealthy-foods_us_57559f8ce4b0ed593f14f7b2","NA"
"Sprouse, Cole","Actor","Milk PEP","Dairy","Got Milk","WME","23.0","http://cdn01.cdn.justjaredjr.com/wp-content/uploads/headlines/2010/12/dylan-cole-sprouse-got-milk.jpg?1","NA"
"Sprouse, Cole","Actor","The Dannon Company","Dairy ","Danimals ","WME","23.0","https://www.youtube.com/watch?v=S9UrkvAUXbk","NA"
"Sprouse, Dylan","Actor","Milk PEP","Dairy","Got Milk","WME","23.0","http://cdn01.cdn.justjaredjr.com/wp-content/uploads/headlines/2010/12/dylan-cole-sprouse-got-milk.jpg?1","NA"
"Sprouse, Dylan","Actor","The Dannon Company","Dairy","Danimals ","WME","23.0","https://www.youtube.com/watch?v=S9UrkvAUXbk","NA"
"Stanley, Paul","Musician","Milk PEP","Dairy","Got Milk","WME","63.0","http://www.kissdominion.com/gotmilk.jpg","NA"
"Stefani, Gwen","Musician","PepsiCo","SSB","Pepsi","WFE","40.0","https://www.youtube.com/watch?v=FLKEZNxAvoY","NA"
"Stewart, Martha","TV personality","Milk PEP","Dairy","Got Milk","WFE","74.0","https://jenontheedge.files.wordpress.com/2009/06/martha-stewart-got-milk.jpg","NA"
"Stringfield, Sherry","Actress","Milk PEP","Dairy","Got Milk","WFE","48.0","http://pzrservices.typepad.com/.a/6a00d83451ccbc69e20168e809effc970c-pi","NA"
"Styles, Harry Edward ""One Dierction""","Musician","Mondelez","Sweet","Nabisco","WME","22.0","http://www.huffingtonpost.com/entry/celebrities-endorse-unhealthy-foods_us_57559f8ce4b0ed593f14f7b38","NA"
"Styles, Harry Edward ""One Dierction""","Musician","PepsiCo","SSB","Pepsi","WME","22.0","http://www.huffingtonpost.com/entry/celebrities-endorse-unhealthy-foods_us_57559f8ce4b0ed593f14f7b39","NA"
"Sullivan, Erik Per","Actor","Milk PEP","Dairy","Got Milk","WME","24.0","http://www.malcolminthemiddle.co.uk/gallery/data/957/Erik_Per_Sullivan_Got_Milk_Promo_MITMVC.jpg","NA"
"Swaray, Estelle Fanta ","Musician","PHA","Fruit and Vegetables","FNV","BFE","36.0","http://www.letsmove.gov/blog/2015/11/23/first-lady-joins-team-fnv-0","NA"
"Swift, Taylor","Musician","TCCC","NCB","Diet Coke","WFE","25.0","http://41.media.tumblr.com/10bef9423f2712187c496bf97260fbaf/tumblr_nnxtif0UGP1s1lyreo4_1280.png","NA"
"Swift, Taylor","Musician","Milk PEP","Dairy","Got Milk","WFE","25.0","http://assets.nydailynews.com/polopoly_fs/1.1701074.1393348590!/img/httpImage/image.jpg_gen/derivatives/gallery_1200/taylor-swift-2008.jpg","NA"
"Teigen, Chrissy ","Model","PepsiCo","Water","Aquafina","MFE","30.0","http://live.huffingtonpost.com/r/segment/christine-teigen-aquafina-/536a7925fe3444af49000797","NA"
"Teigen, Chrissy ","Model","PHA","Water","Drink UP Campaign","MFE","30.0","http://live.huffingtonpost.com/r/segment/christine-teigen-aquafina-/536a7925fe3444af49000797","NA"
"Thiam, Akon ","Musician","PepsiCo","SSB","Pepsi","BME","43.0","https://www.bellanaija.com/2010/02/pepsi-teams-up-with-akon-keri-hilson-and-drogba-on-oh-africa/","NA"
"Thomas, Jonathon Taylor","Actor","Milk PEP","Dairy","Got Milk","WME","34.0","http://media4.popsugar-assets.com/files/2013/10/31/888/n/1922398/d6c1b69a72247497_Jonathan-Taylor-Thomas-got-milk.xxxlarge/i/Jonathan-Taylor-Thomas-flashed-his-signature-grin-his-Got-Milk.jpg","NA"
"Thomas, Rozonda Ocelean ""Chilli""","Musician","TCCC","Water","Dasani","BFE","45.0","http://ohnotheydidnt.livejournal.com/33914218.html?thread=4688276074","NA"
"Thomaz, Cameron Jibril ""Wiz Khalifa""","Musician","PepsiCo","SSB","Pepsi","AME","28.0","https://www.youtube.com/watch?v=E3t5MAFYvbQ","NA"
"Thorne, Bella","Actress","Post Foods","Cereal","Cocoa Pebbles","WFE","17.0","https://www.google.com/search?q=bella+cocoa+pebbles&biw=1223&bih=620&source=lnms&tbm=isch&sa=X&ved=0CAYQ_AUoAWoVChMI5vyJ-vfuxgIVAc6ACh1kcAwJ#imgrc=u_04Y7WwFGIjTM%3A","NA"
"Thurman, Uma ","Actress","Davide Campari-Milano ","Alcohol ","Campari","WFE","45.0","http://hiphopwired.com/2014/10/30/drankin-21-celebrity-alcohol-endorsements-photos/11/","NA"
"Timberlake, Justin","Musician","McDonald's Corporation","QSR","McDonald's","WME","34.0","http://www.smh.com.au/articles/2003/09/03/1062548903741.html","NA"
"Timberlake, Justin","Musician","Sauza Tequila Import Company","Alcohol ","Sauza 901","WME","34.0","http://hiphopwired.com/2014/10/30/drankin-21-celebrity-alcohol-endorsements-photos/13/","NA"
"Timberlake, Justin","Musician","PepsiCo","SSB","Pepsi","WME","34.0","http://hiphopwired.com/2014/10/30/drankin-21-celebrity-alcohol-endorsements-photos/13/","NA"
"Timberlake, Justin","Musician","Chili's Grill & Bar","QSR","Chili's","WME","34.0","http://hiphopwired.com/2014/10/30/drankin-21-celebrity-alcohol-endorsements-photos/13/","NA"
"Tisdale, Ashley","Actress","Milk PEP","Dairy","Got Milk","WFE","30.0","https://www.google.com/search?q=ashley+tisdale+got+milk&client=safari&rls=en&biw=1277&bih=633&tbm=isch&tbo=u&source=univ&sa=X&ved=0CBwQsARqFQoTCKOFzPCv2cgCFQYcPgod3jwE2Q#imgrc=r2wQVKmwnLiLMM%3A","NA"
"Tomlinson, Louis William ""One Direction""","Musician","Mondelez","Sweet","Nabisco","WME","24.0","http://www.huffingtonpost.com/entry/celebrities-endorse-unhealthy-foods_us_57559f8ce4b0ed593f14f7b36","NA"
"Tomlinson, Louis William ""One Direction""","Musician","PepsiCo","SSB","Pepsi","WME","24.0","http://www.huffingtonpost.com/entry/celebrities-endorse-unhealthy-foods_us_57559f8ce4b0ed593f14f7b37","NA"
"Trebek, Alex","TV personality","Milk PEP","Dairy","Got Milk","WME","75.0","http://www.bambootrading.com/2100/2181.JPG","NA"
"Trump, Ivana","Model ","Milk PEP","Dairy","Got Milk","WFE","66.0","https://www.google.com/search?q=ivana+trump+got+milk&client=safari&rls=en&tbm=isch&tbo=u&source=univ&sa=X&ved=0CB0QsARqFQoTCLbxuuWT3sgCFUlYPgod_moKyw&biw=1277&bih=633#imgrc=3IoB5vjeFO0wXM%3A","NA"
"Tyler, Steven","Musician","Milk PEP","Dairy","Got Milk","WME","67.0","https://s-media-cache-ak0.pinimg.com/736x/b9/f6/20/b9f620fe9f0fc79b8a2eb69f0998fd07.jpg","NA"
"Ullman, Tracy","Actress","Milk PEP","Dairy","Got Milk","WFE","55.0","http://ecx.images-amazon.com/images/I/51sFR6x-qVL._SX342_.jpg","NA"
"Underwood, Carrie","Musician","Milk PEP","Dairy","Got Milk","WFE","32.0","https://malthebeefgal.files.wordpress.com/2013/04/carrieunderwood_milkad_e.jpg","NA"
"Underwood, Carrie","Musician","TCCC","NCB","Vitaminwater ZERO","WFE","32.0","http://stocklandmartelblog.com/2013/12/11/jeff-lipsky-photographs-carrie-underwood-for-new-vitaminwater-campaign/","NA"
"Underwood, Carrie","Musician","The Hershey Company","Candy","Hershy bar","WFE","32.0","https://www.youtube.com/watch?v=lEVURekSTLY","NA"
"Union, Gabrielle ","Actress","PHA","Fruit and Vegetables","FNV","BFE","43.0","http://www.theybf.com/2015/11/22/first-lady-michelle-obama-gabrielle-union-ashanti-jordin-sparks-more-celebrate-healthy","NA"
"Union, Gabrielle ","Actress","Vanilla Puddin Chardonnay","Alcohol ","Vanilla Puddin Chardonnay","BFE","43.0","http://urbanfoodexperience.com/2014/05/01/welcome-to-vanilla-puddin/","NA"
"Upton, Kate","Model","CKE Restaurants","QSR","Carl's Jr","WFE","23.0","https://images.search.yahoo.com/images/view;_ylt=AwrB8pOx3JJVWW4AgM0unIlQ;_ylu=X3oDMTIzMWZqN21nBHNlYwNzcgRzbGsDaW1nBG9pZANmOTE5Y2FmNTJmNWQ5ZjUwNjU1NGJlMDQxODY2N2ViOARncG9zAzM0BGl0A2Jpbmc-?.origin=&back=https%3A%2F%2Fimages.search.yahoo.com%2Fyhs%2Fsearch%3Fp%3Dcarl%2527s%2Bjr%26fr%3Dyhs-mozilla-002%26fr2%3Dpiv-web%26hsimp%3Dyhs-002%26hspart%3Dmozilla%26tab%3Dorganic%26ri%3D34&w=630&h=945&imgurl=cdn.rsvlts.com%2Fwp-content%2Fuploads%2F2013%2F01%2FKate-Upton-carls-jr1-630x945.jpeg&rurl=http%3A%2F%2Fwww.rsvlts.com%2F2013%2F01%2F15%2Fthe-9-hottest-carls-jr-commercial-girls-of-all-time%2F&size=122.2KB&name=Kate+Upton+for+%3Cb%3ECarl%26%2339%3Bs+Jr%3C%2Fb%3E+0821+by+DoriaAnselmo%C3%82%C2%A92012&p=carl%27s+jr&oid=f919caf52f5d9f506554be0418667eb8&fr2=piv-web&fr=yhs-mozilla-002&tt=Kate+Upton+for+%3Cb%3ECarl%26%2339%3Bs+Jr%3C%2Fb%3E+0821+by+DoriaAnselmo%C3%82%C2%A92012&b=0&ni=21&no=34&ts=&tab=organic&sigr=12lepiaol&sigb=146k3rkih&sigi=12br2gspu&sigt=120fqrorl&sign=120fqrorl&.crumb=0M2.3jhAHLm&fr=yhs-mozilla-002&fr2=piv-web&hsimp=yhs-002&hspart=mozilla","NA"
"Valentine, James Burgon ""Maroon 5""","Musician","TCCC","SSB","Coca-Cola","WME","37.0","http://www.huffingtonpost.com/entry/celebrities-endorse-unhealthy-foods_us_57559f8ce4b0ed593f14f7b14","NA"
"Valentine, James Burgon ""Maroon 5""","Musician","Dr Pepper Snapple Group","SSB","Snapple","WME","37.0","http://www.huffingtonpost.com/entry/celebrities-endorse-unhealthy-foods_us_57559f8ce4b0ed593f14f7b15","NA"
"Vega, Alexa","Actress","Milk PEP","Dairy","Got Milk","LFE","27.0","http://www.bambootrading.com/1700-1/1700-40.JPG","NA"
"Vergara, Sofia","Actress","Milk PEP","Dairy","Got Milk","LFE","43.0","http://static.celebuzz.com/uploads/2014/02/24/sofia-vergara-got-milk-ad.jpg","NA"
"Vergara, Sofia","Actress","PepsiCo","NCB","Diet Pepsi","LFE","43.0","http://payload15.cargocollective.com/1/4/140328/2603462/PEPS_X1699_E3757_A_EG2GIOOD.jpg","NA"
"Vergara, Sofia","Actress","Restaurant Brands International Inc.","QSR","Burger King","LFE","43.0","http://brandchannel.com/wp-content/uploads/2012/04/bk_sofia_vergara_400.jpg","NA"
"Viera, Meredith","TV personality","Milk PEP","Dairy","Got Milk","WFE","61.0","http://file.vintageadbrowser.com/grgvpj440tsslo.jpg","NA"
"Vincent Dery ""Nico & Vinz""","Musician","Nestle","SSB","Nestea","BFE","26.0","https://www.youtube.com/watch?v=g-c64vrQdg9","NA"
"Ward, Megan ","Actress","Nestle","Water","Nestle Pure Life","WFE","46.0","https://www.youtube.com/watch?v=RSWIxdenoto","NA"
"Wayne, Lil","Musician","PepsiCo","SSB","Mountain Dew","BME","32.0","https://images.search.yahoo.com/images/view;_ylt=AwrB8o._KoxVOSQAGvcunIlQ;_ylu=X3oDMTIzNDJnYnRxBHNlYwNzcgRzbGsDaW1nBG9pZANjZGI4ZTE4YzUyYTkyNWE0OGRiYTA1MjE2YWYyYTczMgRncG9zAzEzBGl0A2Jpbmc-?.origin=&back=https%3A%2F%2Fimages.search.yahoo.com%2Fyhs%2Fsearch%3Fp%3Dlil%2Bwayne%2Bmountain%2Bdew%26fr%3Dyhs-mozilla-002%26fr2%3Dpiv-web%26hsimp%3Dyhs-002%26hspart%3Dmozilla%26tab%3Dorganic%26ri%3D13&w=500&h=276&imgurl=skeudsleblog.20minutes-blogs.fr%2Ffiles%2FOctobre2012%2Flil_wayne-mountain_dew-skeuds.jpg&rurl=http%3A%2F%2Fskeudsleblog.20minutes-blogs.fr%2Farchives%2Fcategory%2Fpub%2Findex-2.html&size=56.2KB&name=%3Cb%3Elil_wayne-mountain_dew%3C%2Fb%3E-skeuds.jpg&p=lil+wayne+mountain+dew&oid=cdb8e18c52a925a48dba05216af2a732&fr2=piv-web&fr=yhs-mozilla-002&tt=%3Cb%3Elil_wayne-mountain_dew%3C%2Fb%3E-skeuds.jpg&b=0&ni=21&no=13&ts=&tab=organic&sigr=129svftjf&sigb=14hbittrc&sigi=12j0sh74v&sigt=1183eit52&sign=1183eit52&.crumb=0M2.3jhAHLm&fr=yhs-mozilla-002&fr2=piv-web&hsimp=yhs-002&hspart=mozilla","NA"
"Wayne, Lil","Musician","PepsiCo","SSB","Gatorade","BME","32.0","https://www.youtube.com/watch?v=dJJUbbnX4Gs","NA"
"Webb, Katherine","Model","CKE Restaurants","QSR","Carl's Jr","WFE","26.0","http://www.therichest.com/expensive-lifestyle/15-of-the-most-mouth-watering-carls-jr-girls/7/","NA"
"Wesson, Tina","TV Personality","Milk PEP","Dairy","Got Milk","WFE","55.0","http://www.chron.com/life/slideshow/Got-Milk-campaign-posters-80682/photo-5937382.php","NA"
"West, Kanye","Musician","PepsiCo","SSB","Pepsi","BME","38.0","http://rollingout.com/photos/celebrity-photos-photos/celebrities-who-have-endorsed-pepsi-other-than-beyonce/21/","NA"
"Wheeler, Nick","Musician","Milk PEP","Dairy","Got Milk","WME","33.0","https://s-media-cache-ak0.pinimg.com/236x/1c/a6/03/1ca603fd8fb7f390f5e4024005dc1a05.jpg","NA"
"White, Betty","Actress","Mars, Inc.","Candy","Snickers","WFE","93.0","http://theinspirationroom.com/daily/2010/snickers-for-betty-white/","NA"
"White, Vanna","TV personality","Milk PEP","Dairy","Got Milk","MFE","58.0","http://file.vintageadbrowser.com/yqjzz0b84dvgkd.jpg","NA"
"Wiglesworth, Kelly ","TV Personality","Milk PEP","Dairy","Got Milk","WFE","38.0","http://www.cbsnews.com/news/see-it-buy-it/","NA"
"Williams, Billy Dee ","Actor ","Pabst Brewing Company","Alcohol ","Colt 45","BME","78.0","http://hiphopwired.com/2014/10/30/drankin-21-celebrity-alcohol-endorsements-photos/8/","NA"
"Williams, Michelle","Musician","McDonald's Corporation","QSR","McDonald's","BFE","35.0","https://images.search.yahoo.com/images/view;_ylt=AwrB8o68KYxVHWQALXMunIlQ;_ylu=X3oDMTIzc2cyb3BsBHNlYwNzcgRzbGsDaW1nBG9pZANkYzI3ZDBhMGZmMWFhMThmZTljNGUwNjgzZjMxNTAyNgRncG9zAzY2BGl0A2Jpbmc-?.origin=&back=https%3A%2F%2Fimages.search.yahoo.com%2Fyhs%2Fsearch%3Fp%3Djustin%2Btimberlake%2Bmcdonald%2527s%26fr%3Dyhs-mozilla-002%26fr2%3Dpiv-web%26hsimp%3Dyhs-002%26hspart%3Dmozilla%26nost%3D1%26tab%3Dorganic%26ri%3D66&w=1200&h=630&imgurl=media.meltyfood.fr%2Farticle-1580552-fb-f1372259114%2Fdestiny-s-child-mcdonald-s-pub.jpg&rurl=http%3A%2F%2Fwww.meltyfood.fr%2Fjustin-timberlake-beyonce-michael-jordan-ces-stars-qui-ont-fait-de-la-pub-pour-mcdonald-s-a189819.html&size=114.0KB&name=destiny-s-child-%3Cb%3Emcdonald-s%3C%2Fb%3E-pub.jpg&p=justin+timberlake+mcdonald%27s&oid=dc27d0a0ff1aa18fe9c4e0683f315026&fr2=piv-web&fr=yhs-mozilla-002&tt=destiny-s-child-%3Cb%3Emcdonald-s%3C%2Fb%3E-pub.jpg&b=61&ni=21&no=66&ts=&tab=organic&sigr=13uqbo0av&sigb=150sqr1q8&sigi=12kbrdfi9&sigt=119u7vogr&sign=119u7vogr&.crumb=0M2.3jhAHLm&fr=yhs-mozilla-002&fr2=piv-web&hsimp=yhs-002&hspart=mozilla","NA"
"Williams, Pharrell","Musician","Diageo ","Alcohol ","Smirnoff","BME","42.0","https://www.youtube.com/watch?v=pXf9CxKlLGQ","NA"
"Williams, Pharrell","Musician","Diageo ","Alcohol ","QREAM","BME","42.0","http://cdn.hiphopwired.com/wp-content/uploads/2014/10/pharrell-q-tip-qream.jpg","NA"
"Williams, Pharrell","Musician","Red Bull GmbH","SSB","Red Bull","BME","42.0","https://www.youtube.com/watch?v=RC0kYS7wv6c","NA"
"Williams, Vanessa","Actress","Milk PEP","Dairy","Got Milk","BFE","52.0","http://file.vintageadbrowser.com/yqjzz0b84dvgkd.jpg","NA"
"Winfrey, Oprah ","TV Personality","Starbucks","NCB","Oprah Chai Tea","BFE","62.0","http://abcnews.go.com/blogs/lifestyle/2014/04/inside-the-making-of-oprahs-starbucks-tea-line-her-aha-moment/","NA"
"Winter, Ariel","Actress","Milk PEP","Dairy","Got Milk","WFE","17.0","http://bryanbantry.com/cms/wp-content/uploads/image-import/-VShrbt2FuRk/TclmHiQEmjI/AAAAAAAAAoA/1gWL8Fd_bYI/s400/Timothy%2BWhite_Got%2BMilk%2BAds_Page_2.jpg","NA"
"Wyle, Noah","Actor","Milk PEP","Dairy","Got Milk","WME","44.0","http://coolspotters.com/files/photos/342757/noah-wyle-and-got-milk-gallery.jpg?1357478693","NA"
"Young, Andre Romelle ""Dr. Dre""","Musician","Dr Pepper Snapple Group","SSB","Dr Pepper","BME","50.0","http://pitchfork.com/news/35461-dr-dre-debuts-music-in-dr-pepper-ad/","NA"
"Zayne, Billy","Actor ","Milk PEP","Dairy","Got Milk","WME","49.0","http://s.ecrater.com/stores/236921/4f03a3b07c159_236921b.jpg","NA"
"Zhang, Ziyi","Actress","Milk PEP","Dairy","Got Milk","AFE","36.0","http://www.bambootrading.com/1700-1/1700-32.JPG","NA"
